Price,24H_Vol,MarketCap,Available Supply,Total Supply,Percent Change 1H,Percent Change 24H,Percent Change 7D,USD Sell,USD Buy,Average,Time,Sentiment,Prediction
4965.739057,21336223734,87498929189.0,17620525,17620525,0.51,5.61,22.39,4938.02,4938.02,4938.02,19-04-03-09-10,0.092005901,4959.984
4965.739057,21336223734,87498929189.0,17620525,17620525,0.51,5.61,22.39,4936.45,4936.45,4936.45,19-04-03-09-11,0.092944869,4962.301
4962.556414,21313317704,87442849353.0,17620525,17620525,0.56,5.48,22.31,4936.45,4936.45,4936.45,19-04-03-09-12,0.090858715,4964.6416
4962.556414,21313317704,87442849353.0,17620525,17620525,0.56,5.48,22.31,4935.57,4935.57,4935.57,19-04-03-09-13,0.09778512199999999,4966.9785
4962.556414,21313317704,87442849353.0,17620525,17620525,0.56,5.48,22.31,4934.33,4934.33,4934.33,19-04-03-09-14,0.09155638,4969.275
4962.6391969999995,21307245538,87444308043.0,17620525,17620525,0.56,5.48,22.31,4935.26,4935.26,4935.26,19-04-03-09-15,0.09278900300000001,4971.4814
4962.6391969999995,21307245538,87444308043.0,17620525,17620525,0.56,5.48,22.31,4935.65,4935.65,4935.65,19-04-03-09-16,0.09065592300000001,4973.5625
4960.225990999999,21290175082,87401786071.0,17620525,17620525,0.61,5.37,22.25,4935.65,4935.65,4935.65,19-04-03-09-17,0.09065592300000001,4975.488
4960.225990999999,21290175082,87401786071.0,17620525,17620525,0.61,5.37,22.25,4929.83,4929.83,4929.83,19-04-03-09-18,0.101801067,4977.2383
4960.225990999999,21290175082,87401786071.0,17620525,17620525,0.61,5.37,22.25,4929.83,4929.83,4929.83,19-04-03-09-19,0.098129145,4978.7974
4952.773068,21286717879,87270461655.0,17620525,17620525,0.46,5.21,22.07,4934.9,4934.9,4934.9,19-04-03-09-20,0.102676423,4980.1436
4952.773068,21286717879,87270461655.0,17620525,17620525,0.46,5.21,22.07,4935.83,4935.83,4935.83,19-04-03-09-21,0.10513452300000001,4981.2705
4949.345177,21286695362,87210060426.0,17620525,17620525,0.49,5.08,21.98,4936.38,4936.38,4936.38,19-04-03-09-22,0.092717281,4982.163
4949.345177,21286695362,87210060426.0,17620525,17620525,0.49,5.08,21.98,4939.17,4939.17,4939.17,19-04-03-09-23,0.090679539,4982.811
4949.345177,21286695362,87210060426.0,17620525,17620525,0.49,5.08,21.98,4939.84,4939.84,4939.84,19-04-03-09-24,0.09241128300000001,4983.2197
4955.702717,21288541400,87322083620.0,17620525,17620525,0.62,5.22,22.13,4939.85,4939.85,4939.85,19-04-03-09-25,0.07833517599999999,4983.405
4955.702717,21288541400,87322083620.0,17620525,17620525,0.62,5.22,22.13,4938.23,4938.23,4938.23,19-04-03-09-26,0.075567587,4983.3804
4957.80153,21283820893,87359065808.0,17620525,17620525,0.72,5.21,22.18,4936.46,4936.46,4936.46,19-04-03-09-27,0.072079066,4983.197
4957.80153,21283820893,87359065808.0,17620525,17620525,0.72,5.21,22.18,4933.82,4933.82,4933.82,19-04-03-09-28,0.074819682,4982.9067
4957.80153,21283820893,87359065808.0,17620525,17620525,0.72,5.21,22.18,4935.13,4935.13,4935.13,19-04-03-09-29,0.075496665,4982.565
4957.515141,21266149428,87354019478.0,17620525,17620525,0.72,5.2,22.17,4935.36,4935.36,4935.36,19-04-03-09-30,0.080815814,4982.208
4957.515141,21266149428,87354019478.0,17620525,17620525,0.72,5.2,22.17,4936.19,4936.19,4936.19,19-04-03-09-31,0.075453437,4981.8633
4955.166807,21254317982,87312640609.0,17620525,17620525,0.69,5.09,22.11,4937.79,4937.79,4937.79,19-04-03-09-32,0.069659561,4981.5425
4955.166807,21254317982,87312640609.0,17620525,17620525,0.69,5.09,22.11,4941.74,4941.74,4941.74,19-04-03-09-33,0.071742894,4981.2573
