Price,24H_Vol,MarketCap,Available Supply,Total Supply,Percent Change 1H,Percent Change 24H,Percent Change 7D,USD Sell,USD Buy,Average,Time,Sentiment
4942.548528,21523571440,87090299902,17620525,17620525,-0.22,5.81,21.91,4933.18,4933.18,4933.18,19-04-03-08-09,0.067465154
4942.548528,21523571440,87090299902,17620525,17620525,-0.22,5.81,21.91,4930.51,4930.51,4930.51,19-04-03-08-10,0.084452333
4934.749034,21476814567,86952868721,17620525,17620525,-0.42,5.57,21.71,4929.13,4929.13,4929.13,19-04-03-08-11,0.078774678
4934.749034,21476814567,86952868721,17620525,17620525,-0.42,5.57,21.71,4933.4,4933.4,4933.4,19-04-03-08-12,0.072670167
4934.749034,21476814567,86952868721,17620525,17620525,-0.42,5.57,21.71,4936.03,4936.03,4936.03,19-04-03-08-13,0.07208506
4934.392948,21464208333,86946594294,17620525,17620525,-0.42,5.56,21.7,4931.41,4931.41,4931.41,19-04-03-08-14,0.07208506
4934.392948,21464208333,86946594294,17620525,17620525,-0.42,5.56,21.7,4929.27,4929.27,4929.27,19-04-03-08-15,0.085427259
4934.392948,21464208333,86946594294,17620525,17620525,-0.42,5.56,21.7,4922.53,4922.53,4922.53,19-04-03-08-16,0.076703855
4931.218055,21407249409,86890651026,17620525,17620525,-0.48,5.42,21.61,4924.57,4924.57,4924.57,19-04-03-08-17,0.065511916
4931.218055,21407249409,86890651026,17620525,17620525,-0.48,5.42,21.61,4927.93,4927.93,4927.93,19-04-03-08-18,0.062687322
4926.965021,21404716678,86815710327,17620525,17620525,-0.57,5.33,21.51,4932.36,4932.36,4932.36,19-04-03-08-19,0.075345284
4926.965021,21404716678,86815710327,17620525,17620525,-0.57,5.33,21.51,4932.4,4932.4,4932.4,19-04-03-08-20,0.073572235
4926.965021,21404716678,86815710327,17620525,17620525,-0.57,5.33,21.51,4931.99,4931.99,4931.99,19-04-03-08-21,0.075300958
4924.96565,21402991510,86780480353,17620525,17620525,-0.6,5.22,21.45,4931.76,4931.76,4931.76,19-04-03-08-22,0.080503021
4924.96565,21402991510,86780480353,17620525,17620525,-0.6,5.22,21.45,4923.3,4923.3,4923.3,19-04-03-08-23,0.088102379
4924.10184,21382417653,86765259575,17620525,17620525,-0.62,5.2,21.43,4919.35,4919.35,4919.35,19-04-03-08-24,0.08750581
4924.10184,21382417653,86765259575,17620525,17620525,-0.62,5.2,21.43,4918.48,4918.48,4918.48,19-04-03-08-25,0.089084757
4924.10184,21382417653,86765259575,17620525,17620525,-0.62,5.2,21.43,4915.91,4915.91,4915.91,19-04-03-08-26,0.088483254
4925.585103,21369163461,86791395450,17620525,17620525,-0.57,5.19,21.46,4919.35,4919.35,4919.35,19-04-03-08-27,0.086141098
4925.585103,21369163461,86791395450,17620525,17620525,-0.57,5.19,21.46,4918.37,4918.37,4918.37,19-04-03-08-28,0.086283974
4917.344928,21361015821,86646199238,17620525,17620525,-0.74,5.01,21.25,4918.66,4918.66,4918.66,19-04-03-08-29,0.084022805
4917.344928,21361015821,86646199238,17620525,17620525,-0.74,5.01,21.25,4916.73,4916.73,4916.73,19-04-03-08-30,0.084759182
4917.344928,21361015821,86646199238,17620525,17620525,-0.74,5.01,21.25,4916.73,4916.73,4916.73,19-04-03-08-31,0.074586514
4915.43684,21368244198,86612577729,17620525,17620525,-0.78,4.93,21.2,4916.73,4916.73,4916.73,19-04-03-08-32,0.071775067
4915.43684,21368244198,86612577729,17620525,17620525,-0.78,4.93,21.2,4916.38,4916.38,4916.38,19-04-03-08-33,0.064057316
4915.12371,21356532462,86607060206,17620525,17620525,-0.79,4.92,21.19,4916.38,4916.38,4916.38,19-04-03-08-34,0.068640649
4915.12371,21356532462,86607060206,17620525,17620525,-0.79,4.92,21.19,4925.84,4925.84,4925.84,19-04-03-08-35,0.076515649
4915.12371,21356532462,86607060206,17620525,17620525,-0.79,4.92,21.19,4927.36,4927.36,4927.36,19-04-03-08-36,0.078648983
4914.030918,21385729776,86587804644,17620525,17620525,-0.8,4.85,21.16,4928.5,4928.5,4928.5,19-04-03-08-37,0.085597576
4914.030918,21385729776,86587804644,17620525,17620525,-0.8,4.85,21.16,4932.14,4932.14,4932.14,19-04-03-08-38,0.091472576
4919.125931,21414188637,86677581437,17620525,17620525,-0.7,4.96,21.28,4932.12,4932.12,4932.12,19-04-03-08-39,0.071739976
4919.125931,21414188637,86677581437,17620525,17620525,-0.7,4.96,21.28,4932.64,4932.64,4932.64,19-04-03-08-40,0.080157484
4919.125931,21414188637,86677581437,17620525,17620525,-0.7,4.96,21.28,4928.99,4928.99,4928.99,19-04-03-08-41,0.080864555
4923.225809,21425467060,86749823445,17620525,17620525,-0.6,4.99,21.38,4925.76,4925.76,4925.76,19-04-03-08-42,0.089796782
4923.225809,21425467060,86749823445,17620525,17620525,-0.6,4.99,21.38,4928.99,4928.99,4928.99,19-04-03-08-43,0.093003369
4926.780423,21417438905,86812457614,17620525,17620525,-0.53,5.07,21.47,4924.26,4924.26,4924.26,19-04-03-08-44,0.093003369
4926.780423,21417438905,86812457614,17620525,17620525,-0.53,5.07,21.47,4928.33,4928.33,4928.33,19-04-03-08-45,0.092745638
4926.780423,21417438905,86812457614,17620525,17620525,-0.53,5.07,21.47,4928.33,4928.33,4928.33,19-04-03-08-46,0.089285
4924.459863,21416166621,86771568126,17620525,17620525,-0.57,4.96,21.4,4930.15,4930.15,4930.15,19-04-03-08-47,0.098982413
4924.459863,21416166621,86771568126,17620525,17620525,-0.57,4.96,21.4,4930.15,4930.15,4930.15,19-04-03-08-48,0.084056417
4925.600616,21415736241,86791668796,17620525,17620525,-0.54,4.99,21.43,4932.27,4932.27,4932.27,19-04-03-08-49,0.089722483
4925.600616,21415736241,86791668796,17620525,17620525,-0.54,4.99,21.43,4932.27,4932.27,4932.27,19-04-03-08-50,0.094611274
4925.600616,21415736241,86791668796,17620525,17620525,-0.54,4.99,21.43,4932.71,4932.71,4932.71,19-04-03-08-51,0.094611274
4922.869452,21438049189,86743544244,17620525,17620525,-0.57,4.88,21.36,4934.54,4934.54,4934.54,19-04-03-08-52,0.102996242
4922.869452,21438049189,86743544244,17620525,17620525,-0.57,4.88,21.36,4935.65,4935.65,4935.65,19-04-03-08-53,0.108780205
4922.869452,21438049189,86743544244,17620525,17620525,-0.57,4.88,21.36,4938.22,4938.22,4938.22,19-04-03-08-54,0.108895735
4922.340645,21427995433,86734226393,17620525,17620525,-0.58,4.86,21.34,4937.39,4937.39,4937.39,19-04-03-08-55,0.121103035
4922.340645,21427995433,86734226393,17620525,17620525,-0.58,4.86,21.34,4937.39,4937.39,4937.39,19-04-03-08-56,0.113454269
4929.278437,21310545044,86856473928,17620525,17620525,-0.4,4.96,21.51,4936.22,4936.22,4936.22,19-04-03-08-57,0.121896868
4929.278437,21310545044,86856473928,17620525,17620525,-0.4,4.96,21.51,4937.17,4937.17,4937.17,19-04-03-08-58,0.127504711
4929.278437,21310545044,86856473928,17620525,17620525,-0.4,4.96,21.51,4937.83,4937.83,4937.83,19-04-03-08-59,0.104710593
4951.187682,21348474072,87242526334,17620525,17620525,0.05,5.43,22.05,4939.65,4939.65,4939.65,19-04-03-09-00,0.109306982
4951.187682,21348474072,87242526334,17620525,17620525,0.05,5.43,22.05,4940.07,4940.07,4940.07,19-04-03-09-01,0.095484748
4960.169172,21486451574,87400784894,17620525,17620525,0.3,5.56,22.26,4940.32,4940.32,4940.32,19-04-03-09-02,0.08929745
4960.169172,21486451574,87400784894,17620525,17620525,0.3,5.56,22.26,4940.32,4940.32,4940.32,19-04-03-09-03,0.078516012
4960.169172,21486451574,87400784894,17620525,17620525,0.3,5.56,22.26,4942.71,4942.71,4942.71,19-04-03-09-04,0.085945731
4957.198609,21323249090,87348442017,17620525,17620525,0.24,5.5,22.19,4942.71,4942.71,4942.71,19-04-03-09-05,0.082541615
4957.198609,21323249090,87348442017,17620525,17620525,0.24,5.5,22.19,4940.66,4940.66,4940.66,19-04-03-09-06,0.093945069
4964.246126,21329292024,87472622977,17620525,17620525,0.48,5.58,22.36,4938.24,4938.24,4938.24,19-04-03-09-07,0.107271032
4964.246126,21329292024,87472622977,17620525,17620525,0.48,5.58,22.36,4934.97,4934.97,4934.97,19-04-03-09-08,0.101871898
4964.246126,21329292024,87472622977,17620525,17620525,0.48,5.58,22.36,4936.86,4936.86,4936.86,19-04-03-09-09,0.098823118
4965.739057,21336223734,87498929189,17620525,17620525,0.51,5.61,22.39,4938.02,4938.02,4938.02,19-04-03-09-10,0.092005901
4965.739057,21336223734,87498929189,17620525,17620525,0.51,5.61,22.39,4936.45,4936.45,4936.45,19-04-03-09-11,0.092944869
4962.556414,21313317704,87442849353,17620525,17620525,0.56,5.48,22.31,4936.45,4936.45,4936.45,19-04-03-09-12,0.090858715
4962.556414,21313317704,87442849353,17620525,17620525,0.56,5.48,22.31,4935.57,4935.57,4935.57,19-04-03-09-13,0.097785122
4962.556414,21313317704,87442849353,17620525,17620525,0.56,5.48,22.31,4934.33,4934.33,4934.33,19-04-03-09-14,0.09155638
4962.639197,21307245538,87444308043,17620525,17620525,0.56,5.48,22.31,4935.26,4935.26,4935.26,19-04-03-09-15,0.092789003
4962.639197,21307245538,87444308043,17620525,17620525,0.56,5.48,22.31,4935.65,4935.65,4935.65,19-04-03-09-16,0.090655923
